,smiles,Biodegradation
0,O=Cc1ccco1,1
1,CCCCCCCCCCN(C)C,1
2,CCCCOC(=O)COC(=O)c1ccccc1C(=O)OCCCC,1
3,C=CCOC1=NS(=O)(=O)c2ccccc21,0
4,ClC1CCCCC1,0
5,COc1cc(OC)nc(NC(=O)Oc2ccccc2)n1,0
6,CC1=CC(/N=N/c2ccccc2[N+](=O)[O-])C(=O)C=C1,0
7,COC(OC)OC,1
8,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0
9,Nc1c(N)n2n(c1=O)CCC2,0
10,OCCOCCO,1
11,N/C(=N\c1ccccc1)Nc1ccccc1,0
12,COC1CCC=CO1,0
13,COC(=O)/C=C/C(=O)OC,1
14,OC/C=C/c1ccccc1,1
15,CC(C)CCCCCC(=O)NCCCCCC(=O)O,1
16,CNC(C)C,1
17,COC(=O)c1cc(F)ccc1N,0
18,CCCCC(C#N)c1ccccc1,0
19,ClCCCCCCCCCl,0
20,C=CCCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)O,1
21,O=P1(O)Oc2ccccc2-c2ccccc21,0
22,CCCCCCCCCCCCN(CCC#N)CCC#N,0
23,CCCCCCCCCCCCCC[N+](C)(C)[O-],1
24,C=C(C)C(=O)OCCN(CC)CC,1
25,CC(C)OC(=O)NP(N)(N)=O,0
26,Cc1ccc(C)c(Cl)c1,0
27,Cc1ccccc1S(N)(=O)=O,0
28,CC(C)(CO)COC(=O)C(C)(C)CO,0
29,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,0
30,CCCCCCCCCCc1ccc(O)c(CN=O)c1,1
31,C=C[Si](OC(=C)C)(OC(=C)C)OC(=C)C,1
32,CCCCCCC(CO)CCCC,1
33,CNC(C)c1cccc(OC)c1,0
34,CCCCCCCCCCCCCCCCCO,1
35,Nc1ccc(Cl)cc1O,0
36,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,0
37,C=C(C(=O)O)c1ccccc1,1
38,CCCCCCCCCCCCCCCCCC,1
39,Nc1c(Cl)cc(Cl)cc1Cl,0
40,N#Cc1ccccc1,1
41,Cc1cc(S(=O)(=O)O)c(/N=N/C2C(=O)C(C(=O)O)=Cc3ccccc32)cc1Cl,0
42,CCCCN,1
43,CN(C)CCCN(CCCN(C)C)CCCN(C)C,0
44,CCN(CCCl)c1ccc(C=O)cc1,0
45,COC(=O)C=C1CCCC1,1
46,CC(C)S,0
47,O=S(=O)(O)c1cc(Nc2nc(Cl)nc(NCc3cccc(Nc4nc(Cl)nc(Nc5cc(S(=O)(=O)O)cc6cc(S(=O)(=O)O)c(/N=N/c7ccc8c(S(=O)(=O)O)cccc8c7S(=O)(=O)O)c(O)c56)n4)c3)n2)c2c(O)c(/N=N/c3ccc4c(S(=O)(=O)O)cccc4c3S(=O)(=O)O)c(S(=O)(=O)O)cc2c1,0
48,O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1,1
49,CCCCC,1
50,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
51,CC(C)c1cccc(C(C)C)c1N=C=Nc1c(C(C)C)cccc1C(C)C,0
52,Br/C=C\c1ccccc1,0
53,NC(CO)C(=O)/N=N/Cc1ccc(O)c(O)c1O,0
54,C=CCOc1nc(OCC=C)nc(OCC=C)n1,0
55,Oc1cccc2c(O)cccc12,0
56,CC[N+](CC)(CC)CC,0
57,CCCCCC1CCC(=O)O1,1
58,Nc1cc(C(=O)O)ccc1Cl,0
59,COc1ccc(C(OC)OC)cc1,1
60,CCCCCCC(C)O,1
61,CC1CCC(C(C)C)C(OC(=O)C(C)O)C1,1
62,C=CCl,0
63,CC(C)c1cccc(C(C)C)c1O,0
64,CN(C)N,0
65,COc1ccccc1NC(=O)C(/N=N/c1ccc(-c2ccc(/N=N/C(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,0
66,CCCCCCCCCCCCCCCO,1
67,Cc1ccc([N+](=O)[O-])cc1,0
68,O=Cc1c(Cl)cccc1Cl,0
69,Nc1ccccc1O,0
70,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
71,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0
72,CCCCCCCCCCCC[N+](C)(C)[O-],1
73,CCS,0
74,Cn1sc(Cl)cc1=O,0
75,CC(C)CC(C)c1ccccc1N,0
76,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,1
77,C=Cc1ccc(CCl)cc1,0
78,N#CCc1ccccc1,1
79,CC(=O)c1ccc(O)cc1,1
80,O=C1CCCO1,1
81,Br/C=C/c1ccccc1,0
82,CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,0
83,CC(C)C(N)C(=O)O,1
84,CC(=O)OC/C=C(\C)C=O,1
85,CCCNCC,1
86,CSc1ccc(O)cc1C,0
87,Cc1ncc(CN)c(N)n1,0
88,O=C(O)c1ccc(Cl)cc1Cl,0
89,CC1=CC(C)(C)CC(=O)C1,1
90,CCCCCCCCCCCCSCCC(=O)OCC(COC(=O)CCSCCCCCCCCCCCC)(COC(=O)CCSCCCCCCCCCCCC)COC(=O)CCSCCCCCCCCCCCC,0
91,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,0
92,CC(=O)OC1CCCCC1C,1
93,O=C1c2c(cc(S(=O)(=O)O)cc2Nc2nc(Cl)nc(Nc3ccc(S(=O)(=O)CCOS(=O)(=O)O)cc3)n2)C=C(S(=O)(=O)O)C1/N=N/c1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O,0
94,CCC(CO)(CO)C(=O)O,0
95,COc1ccccc1C(=O)O,1
96,CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,0
97,CCNc1nc(Cl)nc(NC(C)C)n1,0
98,CCOC(=O)c1ccccc1O,1
99,OCCOCCOCCOCCO,1
100,Oc1ccc(C(c2ccc(O)cc2)c2ccccn2)cc1,0
101,Cc1ccc(Nc2nc(Nc3ccc(C)cc3)c(/N=N/c3ccccc3C(F)(F)F)c(C)c2C#N)cc1,0
102,N#Cc1cccc(C#N)c1,0
103,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0
104,CCc1ccc(C)nc1,0
105,OCCNc1ccccc1,0
106,C/C(=C\C(C)C)C(C)OC(C)(C)COC(=O)C1CC1,0
107,O=S1(=O)CCCO1,1
108,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,1
109,CCC(O)CCCCCCCCCS(=O)(=O)O,1
110,Clc1cccc(Cl)c1,0
111,Cc1cc(C)c(C=O)c(C)c1,0
112,Cc1cc(C)[nH]n1,0
113,CC12CC(O)C3C4CCC(=O)C=C4CCC3C1CCC2=O,0
114,Nc1ccncc1,0
115,Nc1cnn(CCO)c1N,0
116,Clc1cccc(Cl)c1Cl,0
117,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,0
118,Cc1cc(C(C)(C)C)c(OP2OCC3(CO2)COP(Oc2c(C(C)(C)C)cc(C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,0
119,C=C(C)CC(C)(C)C,0
120,NCCCN,1
121,C=Cc1ccccn1,0
122,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1
123,COc1cc(/N=N/c2cc(S(=O)(=O)O)c3cccc(S(=O)(=O)O)c3c2)c(C)cc1Nc1nc(SCCCS(=O)(=O)O)nc(SCCCS(=O)(=O)O)n1,0
124,Clc1ccccc1NNc1ccccc1Cl,0
125,O=[N+]([O-])c1ccc(S(=O)(=O)O)cc1,0
126,C=C(C)C(=O)NCCCN(C)C,1
127,CC(C)COC(=O)C(C)Cl,1
128,CC(=O)CC(C)(C)O,1
129,CCC(C)Cl,1
130,CCCO,1
131,CC(=O)Oc1ccccc1C(=O)O,1
132,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
133,C1CN2CCN1CC2,0
134,CCC(C)O,1
135,C[N+](C)(C)CC1CO1,1
136,CCC(=O)CC(C)CC,1
137,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,0
138,CCc1ccc(-c2ccccc2)cc1,0
139,CCOc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,0
140,N#CCN(CC#N)CCCN(CC#N)CC#N,0
141,CC(C)C12C=CC(C)(CC1)C1C(=O)OC(=O)C12,0
142,Cc1cc(O)c(C)c(C)c1O,0
143,O=C(O)CO,1
144,C=CC(=O)OCc1c(Br)c(Br)c(Br)c(Br)c1Br,0
145,CCCCCC(CN)CCC,1
146,O=[N+]([O-])C(Br)(CO)CO,0
147,CCOC(=O)c1nn(-c2ccc(OC)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O,0
148,CCOCCOCCO,1
149,Oc1ccccc1,1
150,CCCCC(O)C(N)CC,1
151,N#Cc1cc(Br)c(O)c(Br)c1,1
152,CCCCCCCCCCCCCCCCCCN,1
153,C[N+](C)(CC[N+](C)(C)CC(O)COCC(F)(F)C(F)F)CC(O)COCC(F)(F)C(F)F,0
154,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,0
155,CCCCC(CC)CNC(=O)CCCCCC(C)C,1
156,CC(CN)CCCCCCN,1
157,NC(CCC(=O)O)C(=O)O,1
158,CC(N)CN,0
159,CC(C)CP(=S)(S)CC(C)C,1
160,CCCCCC(CCC)COC(=O)OCC(CCC)CCCCC,1
161,ClCCc1ccccc1,0
162,FC(F)(F)c1ccc(Cl)cc1,0
163,CCCCCCCC(=O)NCC(=O)O,1
164,CCO[Si](CCCN)(OCC)OCC,0
165,CCCCc1oc2ccc([N+](=O)[O-])cc2c1C(=O)c1ccc(O)cc1,0
166,Clc1cccc(N2CCNCC2)c1,0
167,O=C1OCc2ccccc21,1
168,CC(C)(C)c1cc(-c2ccccc2)cc(C(C)(C)C)c1O,0
169,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,0
170,NC(Cc1ccccc1)C(=O)O,1
